Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-05-21,Tuesday,20:39:00,Below Low,2447.39990234375,2450.199951171875,2448.300048828125,2461.60009765625,2435.800048828125,22:03:00,,,Crossed Above High,2450.60009765625
2024-05-22,Wednesday,20:37:00,Below Low,2405.5,2408.0,2405.89990234375,2445.60009765625,2390.800048828125,,,,,
2024-05-23,Thursday,21:06:00,Below Low,2350.60009765625,2357.199951171875,2351.699951171875,2398.10009765625,2348.5,21:25:00,,,Crossed Above High,2357.800048828125
2024-05-26,Sunday,20:36:00,Below Low,2359.0,2362.300048828125,2359.699951171875,2371.39990234375,2358.39990234375,21:13:00,,,Crossed Above High,2363.0
2024-05-27,Monday,21:10:00,Below Low,2374.800048828125,2377.10009765625,2374.89990234375,2382.39990234375,2361.699951171875,21:35:00,,,Crossed Above High,2377.60009765625
2024-05-28,Tuesday,20:34:00,Below Low,2381.800048828125,2384.199951171875,2382.10009765625,2387.89990234375,2363.0,,,,,
2024-05-29,Wednesday,20:37:00,Below Low,2356.199951171875,2360.800048828125,2357.10009765625,2384.199951171875,2349.300048828125,21:14:00,,,Crossed Above High,2360.89990234375
2024-05-30,Thursday,20:36:00,Above High,2365.800048828125,2365.5,2363.699951171875,2373.699951171875,2343.60009765625,23:00:00,Crossed Below Low,2362.60009765625,,
2024-06-02,Sunday,20:48:00,Above High,2346.60009765625,2346.5,2344.199951171875,2351.5,2340.800048828125,23:29:00,Crossed Below Low,2343.89990234375,,
2024-06-03,Monday,20:32:00,Above High,2372.5,2372.300048828125,2370.10009765625,2375.5,2334.60009765625,21:07:00,Crossed Below Low,2369.89990234375,,
2024-06-04,Tuesday,20:42:00,Above High,2348.89990234375,2348.800048828125,2347.0,2372.10009765625,2335.199951171875,21:02:00,Crossed Below Low,2346.60009765625,,
2024-06-05,Wednesday,21:01:00,Above High,2376.0,2375.10009765625,2373.5,2394.5,2347.800048828125,,,,,
2024-06-06,Thursday,20:46:00,Above High,2397.39990234375,2397.10009765625,2394.800048828125,2400.60009765625,2372.199951171875,09:05:00,Crossed Below Low,2373.39990234375,,
2024-06-06,Thursday,20:46:00,Above High,2397.39990234375,2397.10009765625,2394.800048828125,2400.60009765625,2372.199951171875,21:10:00,Crossed Below Low,2394.800048828125,,
2024-06-09,Sunday,21:09:00,Below Low,2310.800048828125,2316.800048828125,2311.0,2318.300048828125,2310.699951171875,22:14:00,,,Crossed Above High,2316.800048828125
2024-06-10,Monday,20:40:00,Above High,2328.0,2327.699951171875,2326.0,2331.39990234375,2304.60009765625,21:01:00,Crossed Below Low,2325.199951171875,,
2024-06-11,Tuesday,20:53:00,Below Low,2330.5,2332.89990234375,2330.800048828125,2337.199951171875,2314.60009765625,23:35:00,,,Crossed Above High,2332.89990234375
2024-06-12,Wednesday,20:31:00,Above High,2338.0,2337.89990234375,2333.199951171875,2358.89990234375,2323.800048828125,21:09:00,Crossed Below Low,2333.10009765625,,
2024-06-13,Thursday,20:33:00,Above High,2319.39990234375,2319.300048828125,2316.699951171875,2342.39990234375,2310.60009765625,,,,,
2024-06-16,Sunday,21:00:00,Below Low,2339.5,2344.699951171875,2340.0,2344.0,2336.199951171875,,,,,
2024-06-17,Monday,20:32:00,Above High,2338.5,2338.0,2334.60009765625,2342.60009765625,2324.300048828125,21:20:00,Crossed Below Low,2334.39990234375,,
2024-06-18,Tuesday,21:09:00,Below Low,2342.10009765625,2344.39990234375,2342.5,2348.199951171875,2320.60009765625,21:45:00,,,Crossed Above High,2344.39990234375
2024-06-19,Wednesday,20:58:00,Above High,2343.39990234375,2343.300048828125,2341.39990234375,2353.10009765625,2338.39990234375,,,,,
2024-06-20,Thursday,20:53:00,Above High,2377.800048828125,2377.699951171875,2372.39990234375,2379.5,2345.10009765625,21:33:00,Crossed Below Low,2371.60009765625,,
2024-06-23,Sunday,20:40:00,Above High,2333.199951171875,2332.89990234375,2329.699951171875,2339.199951171875,2330.39990234375,,,,,
2024-06-24,Monday,20:36:00,Below Low,2340.800048828125,2344.0,2341.39990234375,2347.5,2333.699951171875,,,,,
2024-06-25,Tuesday,20:55:00,Below Low,2330.199951171875,2335.800048828125,2330.300048828125,2349.60009765625,2321.800048828125,05:17:00,,,Crossed Above High,2344.0
2024-06-26,Wednesday,,,,,,,,,,,,
2024-06-27,Thursday,20:40:00,Below Low,2334.39990234375,2338.800048828125,2334.60009765625,2341.89990234375,2306.800048828125,,,,,
2024-06-30,Sunday,21:25:00,Above High,2336.699951171875,2336.39990234375,2332.199951171875,2338.800048828125,2332.699951171875,,,,,
2024-07-01,Monday,21:11:00,Below Low,2341.10009765625,2389.60009765625,2341.199951171875,2394.0,2328.300048828125,00:38:00,Crossed Below Low,2331.89990234375,,
2024-07-02,Tuesday,21:32:00,Below Low,2385.10009765625,2387.39990234375,2385.300048828125,2391.800048828125,2327.699951171875,23:51:00,,,Crossed Above High,2387.60009765625
2024-07-03,Wednesday,,,,,,,,,,,,
2024-07-04,Thursday,,,,,,,,,,,,
2024-07-07,Sunday,20:36:00,Above High,2442.300048828125,2442.199951171875,2440.199951171875,2446.300048828125,2436.800048828125,21:06:00,Crossed Below Low,2439.800048828125,,
2024-07-08,Monday,20:35:00,Below Low,2415.60009765625,2418.10009765625,2415.89990234375,2441.60009765625,2406.10009765625,21:10:00,,,Crossed Above High,2418.5
2024-07-09,Tuesday,21:00:00,Below Low,2418.10009765625,2420.39990234375,2418.800048828125,2425.699951171875,2403.60009765625,21:17:00,,,Crossed Above High,2420.39990234375
2024-07-10,Wednesday,20:44:00,Above High,2426.300048828125,2426.0,2425.10009765625,2440.60009765625,2420.300048828125,,,,,
2024-07-11,Thursday,21:00:00,Below Low,2464.800048828125,2469.10009765625,2464.89990234375,2478.0,2430.0,,,,,
2024-07-14,Sunday,21:14:00,Below Low,2458.10009765625,2461.5,2458.60009765625,2464.60009765625,2457.89990234375,21:53:00,,,Crossed Above High,2462.5
2024-07-15,Monday,20:44:00,Below Low,2473.10009765625,2475.60009765625,2473.39990234375,2493.0,2454.199951171875,21:04:00,,,Crossed Above High,2475.699951171875
2024-07-16,Tuesday,20:36:00,Above High,2522.89990234375,2522.60009765625,2520.0,2536.0,2478.39990234375,23:27:00,Crossed Below Low,2520.0,,
2024-07-17,Wednesday,20:33:00,Below Low,2509.800048828125,2514.39990234375,2511.0,2537.5,2504.699951171875,21:13:00,,,Crossed Above High,2515.199951171875
2024-07-18,Thursday,21:14:00,Below Low,2477.10009765625,2496.0,2477.5,2527.5,2471.5,,,,,
2024-07-21,Sunday,21:04:00,Below Low,2456.5,2461.5,2456.699951171875,2462.300048828125,2453.800048828125,21:31:00,,,Crossed Above High,2462.300048828125
2024-07-22,Monday,20:31:00,Above High,2446.39990234375,2446.199951171875,2443.60009765625,2457.800048828125,2432.699951171875,,,,,
2024-07-23,Tuesday,20:56:00,Below Low,2456.800048828125,2458.60009765625,2457.0,2467.199951171875,2437.0,01:23:00,Crossed Below Low,2443.199951171875,,
2024-07-23,Tuesday,20:56:00,Below Low,2456.800048828125,2458.60009765625,2457.0,2467.199951171875,2437.0,21:10:00,,,Crossed Above High,2459.89990234375
2024-07-24,Wednesday,21:01:00,Below Low,2443.10009765625,2464.0,2443.5,2481.10009765625,2413.10009765625,,,,,
2024-07-25,Thursday,21:00:00,Below Low,2407.0,2410.89990234375,2407.300048828125,2429.0,2398.39990234375,21:30:00,,,Crossed Above High,2411.5
2024-07-28,Sunday,,,,,,,,,,,,
2024-07-29,Monday,,,,,,,,,,,,
2024-07-30,Tuesday,,,,,,,,,,,,
2024-07-31,Wednesday,,,,,,,,,,,,
2024-08-01,Thursday,,,,,,,,,,,,
2024-08-04,Sunday,22:54:00,Above High,2487.199951171875,2486.199951171875,2455.699951171875,2494.60009765625,2461.199951171875,,,,,
2024-08-05,Monday,20:42:00,Above High,2456.10009765625,2455.10009765625,2445.5,2500.800048828125,2403.60009765625,06:50:00,Crossed Below Low,2455.39990234375,,
2024-08-06,Tuesday,21:05:00,Above High,2427.10009765625,2426.89990234375,2421.5,2457.10009765625,2418.89990234375,01:46:00,Crossed Below Low,2445.10009765625,,
2024-08-06,Tuesday,21:05:00,Above High,2427.10009765625,2426.89990234375,2421.5,2457.10009765625,2418.89990234375,21:20:00,Crossed Below Low,2420.699951171875,,
2024-08-07,Wednesday,20:31:00,Above High,2426.800048828125,2426.300048828125,2422.300048828125,2447.39990234375,2423.5,,,,,
2024-08-08,Thursday,20:36:00,Below Low,2462.10009765625,2464.89990234375,2462.300048828125,2468.39990234375,2431.199951171875,21:42:00,,,Crossed Above High,2465.800048828125
2024-08-11,Sunday,20:36:00,Below Low,2465.699951171875,2468.300048828125,2465.800048828125,2469.39990234375,2462.699951171875,21:03:00,,,Crossed Above High,2468.300048828125
2024-08-12,Monday,20:31:00,Below Low,2512.39990234375,2517.199951171875,2513.699951171875,2514.5,2467.0,,,,,
2024-08-13,Tuesday,20:48:00,Above High,2506.300048828125,2506.199951171875,2502.39990234375,2515.0,2494.60009765625,22:08:00,Crossed Below Low,2501.800048828125,,
2024-08-14,Wednesday,20:34:00,Above High,2488.800048828125,2488.0,2479.699951171875,2519.699951171875,2476.199951171875,,,,,
2024-08-15,Thursday,20:31:00,Above High,2496.89990234375,2496.5,2493.60009765625,2508.0,2469.10009765625,08:59:00,Crossed Below Low,2478.39990234375,,
2024-08-15,Thursday,20:31:00,Above High,2496.89990234375,2496.5,2493.60009765625,2508.0,2469.10009765625,22:12:00,Crossed Below Low,2493.39990234375,,
