Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-05-06,Monday,Win,18188.25,18171.25,18201.25,17983.75,17.0,1700.0,0.17,22:00:00,18817.75,Above Opening High,21:00:00,19687.75,Below Opening Low,0.033202294942626435,0.0625,0.015240224031293262,0.03,2024-06-03,12:00:00,Crossed Below Opening Range Low,18521.25,,
2024-05-07,Tuesday,Loss,18212.25,18196.5,18266.25,18151.0,15.75,1575.0,0.1575,21:15:00,18884.25,Above Opening High,21:00:00,19975.25,Above Opening High,0.4297219988663776,0.815,0.21617916507388318,0.41,2024-06-04,14:15:00,,,Crossed Above Opening Range High,18735.5
2024-05-08,Wednesday,Loss,18171.0,18153.25,18242.25,18072.5,17.75,1775.0,0.1775,21:00:00,18720.75,Above Opening High,21:15:00,19947.0,Below Opening Low,1.5901594101954186,3.025,0.14308306348369607,0.285,2024-06-04,22:00:00,,,Crossed Above Opening Range High,18759.75
2024-05-09,Thursday,Win,18244.75,18223.25,18240.25,18103.75,21.5,2150.0,0.215,21:45:00,18852.25,Above Opening High,21:00:00,19753.25,Below Opening Low,0.02386413353308497,0.045,0.12799067315490673,0.2525,2024-06-06,09:45:00,Crossed Below Opening Range Low,19033.75,,
2024-05-12,Sunday,Win,18254.5,18238.0,18279.25,18242.0,16.5,1650.0,0.165,23:00:00,18920.5,Above Opening High,21:00:00,19988.25,Above Opening High,0.1872757965815573,0.355,0.10682633466976156,0.2025,2024-06-07,07:00:00,Crossed Below Opening Range Low,19058.0,,
2024-05-13,Monday,Loss,18289.75,18278.5,18336.25,18235.0,11.25,1125.0,0.1125,22:30:00,18900.5,Below Opening Low,22:15:00,19926.0,Above Opening High,0.4304046334918568,0.81,0.761307657859382,1.445,2024-06-10,02:15:00,Crossed Below Opening Range Low,19015.0,,
2024-05-14,Tuesday,Loss,18426.25,18399.75,18438.25,18165.5,26.5,2650.0,0.265,22:30:00,18692.0,Below Opening Low,21:45:00,20129.5,Above Opening High,0.08165232173691889,0.1525,0.05687680220099997,0.1075,2024-06-11,04:45:00,Crossed Below Opening Range Low,19064.5,,
2024-05-15,Wednesday,Win,18735.25,18717.0,18738.75,18393.0,18.25,1825.0,0.1825,22:30:00,18646.0,Above Opening High,21:15:00,19984.5,Above Opening High,0.04020693167502077,0.075,0.10989894657839011,0.205,2024-06-13,05:30:00,Crossed Below Opening Range Low,19593.25,,
2024-05-16,Thursday,Loss,18656.75,18645.25,18760.75,18635.75,11.5,1150.0,0.115,23:15:00,18646.25,Below Opening Low,22:00:00,20709.0,Below Opening Low,1.141803289803778,2.105,0.6121556624398776,1.26,2024-06-14,05:00:00,Crossed Below Opening Range Low,19602.25,,
2024-05-19,Sunday,Win,18672.75,18658.5,18679.25,18659.5,14.25,1425.0,0.1425,21:15:00,18722.75,Below Opening Low,23:15:00,20715.0,Above Opening High,1.1425484502667296,2.115,0.3024086113183417,0.5675,2024-06-17,03:00:00,,,Crossed Above Opening Range High,19718.75
2024-05-20,Monday,Loss,18759.5,18745.5,18794.5,18635.25,14.0,1400.0,0.14,21:45:00,19099.0,Above Opening High,21:00:00,20857.75,Below Opening Low,0.06279106273873684,0.12,0.7803346016790481,1.615,2024-06-18,03:30:00,,,Crossed Above Opening Range High,19939.75
2024-05-21,Tuesday,Win,18817.0,18808.0,18824.0,18678.0,9.0,900.0,0.09,21:15:00,19080.25,Above Opening High,22:45:00,20653.5,Above Opening High,0.23137859813328454,0.4425,0.7503464142853408,1.435,2024-06-20,10:00:00,Crossed Below Opening Range Low,19882.25,,
2024-05-22,Wednesday,Loss,18877.0,18862.0,18965.75,18684.25,15.0,1500.0,0.15,23:00:00,19048.75,Above Opening High,22:00:00,20552.25,Below Opening Low,0.01181040365335153,0.0225,0.42879132155684235,0.8775,2024-06-21,01:00:00,,,Crossed Above Opening Range High,19806.0
2024-05-23,Thursday,Loss,18719.5,18694.0,19023.25,18621.5,25.5,2550.0,0.255,21:30:00,19093.0,Above Opening High,23:30:00,20042.0,Below Opening Low,0.19210914936159648,0.3675,0.3806471000701192,0.76,2024-06-24,04:00:00,,,Crossed Above Opening Range High,20027.5
2024-05-26,Sunday,Loss,18850.25,18833.5,18856.75,18836.75,16.75,1675.0,0.1675,23:00:00,19625.25,Above Opening High,22:00:00,19741.75,Below Opening Low,0.06492514512679498,0.1275,0.11664025356576861,0.23,2024-06-24,21:45:00,,,Crossed Above Opening Range High,19776.0
2024-05-27,Monday,Win,18917.0,18885.0,18956.0,18848.25,32.0,3200.0,0.32,21:45:00,19627.75,Above Opening High,21:45:00,19081.5,Above Opening High,0.32121273678330203,0.6325,1.569244832664669,3.09,2024-06-26,08:30:00,Crossed Below Opening Range Low,19950.75,,
2024-05-28,Tuesday,Win,18947.75,18902.75,18980.5,18819.5,45.0,4500.0,0.45,20:45:00,19699.5,Below Opening Low,21:45:00,19107.25,Below Opening Low,0.07493110148719186,0.1475,0.1638184105682533,0.3125,2024-06-27,21:30:00,,,Crossed Above Opening Range High,20120.25
2024-05-29,Wednesday,Loss,18732.0,18705.0,18900.5,18676.75,27.0,2700.0,0.27,21:30:00,19899.5,Below Opening Low,22:15:00,19114.5,Above Opening High,1.3187036989893333,2.59,1.0261986900654967,2.0525,2024-07-01,04:30:00,Crossed Below Opening Range Low,19923.25,,
2024-05-30,Thursday,Loss,18578.75,18502.5,18787.0,18502.5,76.25,7625.0,0.7625,23:00:00,19949.5,Above Opening High,21:30:00,19640.25,Below Opening Low,0.23504113219813466,0.47,2.8554595443833466,5.4525,2024-07-03,09:30:00,,,Crossed Above Opening Range High,20259.75
2024-06-02,Sunday,Loss,18644.5,18580.25,18653.5,18616.75,64.25,6425.0,0.6425,20:45:00,19973.75,Above Opening High,22:30:00,18754.25,Below Opening Low,0.21232748391931555,0.425,0.365246708765921,0.6825,2024-07-09,09:45:00,,,Crossed Above Opening Range High,20749.25
2024-06-03,Monday,Win,18677.0,18648.75,18755.5,18435.75,28.25,2825.0,0.2825,20:45:00,19768.5,Below Opening Low,21:15:00,18115.25,Below Opening Low,0.377013595338741,0.7425,0.5146344846719378,0.9275,2024-07-11,07:30:00,,,Crossed Above Opening Range High,20885.75
2024-06-04,Tuesday,Loss,18746.0,18725.75,18766.0,18511.25,20.25,2025.0,0.2025,21:00:00,19960.5,Below Opening Low,21:00:00,18416.0,Above Opening High,0.21085925144965736,0.42,0.10490165469871995,0.21,2024-07-16,02:45:00,Crossed Below Opening Range Low,20619.25,,
2024-06-05,Wednesday,Win,19097.0,19067.75,19111.0,18703.0,29.25,2925.0,0.2925,20:45:00,19752.75,Below Opening Low,21:45:00,18289.75,Above Opening High,0.12545620437956204,0.2475,0.9660509236145781,1.935,2024-07-18,01:45:00,,,Crossed Above Opening Range High,20075.5
2024-06-06,Thursday,Loss,19080.0,19067.5,19124.5,19017.25,12.5,1250.0,0.125,20:45:00,19989.75,Above Opening High,21:30:00,17946.5,Above Opening High,0.09371017317640003,0.1875,3.0587000524776973,6.12,2024-07-22,05:45:00,,,Crossed Above Opening Range High,19846.5
2024-06-09,Sunday,Loss,19040.0,19015.0,19051.0,19018.5,25.0,2500.0,0.25,22:00:00,19931.75,Above Opening High,23:00:00,18656.5,Above Opening High,0.6913131212476022,1.3875,0.049824369098926284,0.1,2024-07-23,06:15:00,,,Crossed Above Opening Range High,19982.25
2024-06-10,Monday,Loss,19088.75,19076.0,19129.75,18974.25,12.75,1275.0,0.1275,20:45:00,20084.5,Below Opening Low,23:00:00,18682.5,Above Opening High,0.8688446375210306,1.73,0.4108687826615856,0.8275,2024-07-29,03:30:00,Crossed Below Opening Range Low,19233.5,,
2024-06-11,Tuesday,Loss,19266.25,19242.0,19266.5,18994.5,24.25,2425.0,0.2425,20:45:00,19982.75,Above Opening High,21:45:00,19144.25,Above Opening High,0.11122219445138715,0.2225,0.04498875281179705,0.09,2024-07-30,00:45:00,,,Crossed Above Opening Range High,19180.25
2024-06-12,Wednesday,Loss,19623.75,19593.5,19638.0,19240.25,30.25,3025.0,0.3025,23:15:00,20232.75,Below Opening Low,21:45:00,19168.0,Above Opening High,1.6210447011551985,3.2275,0.2801189580068364,0.5675,2024-08-06,04:00:00,Crossed Below Opening Range Low,18155.5,,
2024-06-13,Thursday,Loss,19624.5,19610.25,19691.0,19500.0,14.25,1425.0,0.1425,21:45:00,20711.0,Below Opening Low,21:15:00,28.844999313354492,Below Opening Low,0.6218724189865423,1.28,0.22584650854141583,0.0006499862670898437,2024-08-07,14:00:00,Crossed Below Opening Range Low,18041.25,,
2024-06-16,Sunday,Win,19718.75,19701.25,19714.0,19684.75,17.5,1750.0,0.175,23:00:00,20712.75,Above Opening High,22:00:00,29.299999237060547,Below Opening Low,0.2840396211200308,0.59,1.4718588296469155,0.004249992370605468,2024-08-12,09:30:00,Crossed Below Opening Range Low,18562.5,,
2024-06-17,Monday,Loss,19937.25,19900.25,20001.0,19640.5,37.0,3700.0,0.37,20:45:00,20862.5,Below Opening Low,22:15:00,29.579999923706055,Above Opening High,0.8032856193754908,1.6625,0.0021513894985571522,0.004500007629394532,2024-08-14,04:00:00,Crossed Below Opening Range Low,19079.25,,
2024-06-18,Tuesday,Win,19947.75,19931.25,19996.5,19851.75,16.5,1650.0,0.165,23:15:00,20578.0,Above Opening High,21:45:00,29.51499938964844,Below Opening Low,0.017005563248548454,0.035,0.9577519187659598,0.002799987792968821,2024-08-16,07:00:00,Crossed Below Opening Range Low,19572.0,,
2024-06-19,Wednesday,Loss,19971.0,19955.75,20016.25,19938.25,15.25,1525.0,0.1525,22:00:00,20648.75,Above Opening High,23:30:00,29.19499969482422,Above Opening High,0.7128431985382506,1.4825,0.0024282399774738393,0.0050500106811523435,2024-08-18,23:00:00,,,Crossed Above Opening Range High,29.1299991607666
2024-06-20,Thursday,Win,19803.75,19775.0,20095.0,19694.25,28.75,2875.0,0.2875,21:00:00,20555.5,Below Opening Low,21:45:00,29.815000534057617,Below Opening Low,0.4446724816145032,0.91,0.4717819733664065,0.001400012969970703,2024-08-20,02:15:00,,,Crossed Above Opening Range High,29.51499938964844
2024-06-23,Sunday,Win,20024.0,20000.5,20018.75,19918.5,23.5,2350.0,0.235,23:15:00,20049.75,Below Opening Low,21:30:00,29.934999465942383,Below Opening Low,0.41946308724832215,0.8375,0.7912414039267233,0.0023499870300292968,2024-08-20,21:45:00,,,Crossed Above Opening Range High,29.524999618530273
2024-06-24,Monday,Win,19775.5,19758.5,20030.0,19728.0,17.0,1700.0,0.17,21:45:00,19745.75,Below Opening Low,21:00:00,29.329999923706055,Above Opening High,0.13692551505546752,0.27,0.003280630984468845,0.006499996185302734,2024-08-21,21:15:00,,,Crossed Above Opening Range High,29.65999984741211
2024-06-25,Tuesday,Win,19985.0,19963.5,20008.5,19726.0,21.5,2150.0,0.215,23:30:00,19923.0,Below Opening Low,21:30:00,29.895000457763672,Above Opening High,0.9219391114938453,1.82,0.0007982132349473522,0.0015999984741210938,2024-08-26,02:45:00,,,Crossed Above Opening Range High,30.094999313354492
