Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-05-16,Thursday,21:05:00,Above High,18658.5,18656.75,18645.25,18760.75,18638.75,02:00:00,,,Crossed Below Low,18713.25
2024-05-19,Sunday,22:40:00,Above High,18673.5,18671.25,18658.5,18679.25,18659.5,,,,,
2024-05-20,Monday,20:40:00,Above High,18757.5,18756.25,18745.5,18794.5,18635.25,04:35:00,,,Crossed Below Low,18656.75
2024-05-20,Monday,20:40:00,Above High,18757.5,18756.25,18745.5,18794.5,18635.25,21:55:00,,,Crossed Below Low,18743.5
2024-05-21,Tuesday,22:00:00,Above High,18822.0,18817.0,18808.0,18824.0,18678.0,,,,,
2024-05-22,Wednesday,20:40:00,Below Low,18862.5,18877.0,18863.25,18965.75,18684.25,02:05:00,,,Crossed Below Low,18805.25
2024-05-22,Wednesday,20:40:00,Below Low,18862.5,18877.0,18863.25,18965.75,18684.25,21:20:00,Crossed Above High,18880.5,,
2024-05-23,Thursday,20:35:00,Above High,18716.5,18715.5,18694.0,19023.25,18621.5,,,,,
2024-05-26,Sunday,21:45:00,Above High,18851.75,18850.25,18833.5,18856.75,18836.75,,,,,
2024-05-27,Monday,23:05:00,Above High,18918.5,18917.0,18885.0,18956.0,18848.25,,,,,
2024-05-28,Tuesday,20:35:00,Below Low,18915.5,18947.75,18919.75,18980.5,18819.5,09:40:00,,,Crossed Below Low,18872.5
2024-05-29,Wednesday,22:20:00,Below Low,18698.75,18732.0,18705.0,18900.5,18676.75,,,,,
2024-05-30,Thursday,20:35:00,Below Low,18508.5,18578.75,18512.0,18787.0,18502.5,04:45:00,Crossed Above High,18732.5,,
2024-06-02,Sunday,22:35:00,Above High,18645.25,18644.5,18580.25,18653.5,18616.75,,,,,
2024-06-03,Monday,23:25:00,Below Low,18646.25,18674.0,18648.75,18755.5,18435.75,10:50:00,,,Crossed Below Low,18580.0
