Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-08-01,Thursday,20:50:00,Below Low,28.565000534057617,28.6299991607666,28.575000762939453,29.270000457763672,28.280000686645508,22:00:00,Crossed Above High,28.670000076293945,,
2024-08-04,Sunday,20:45:00,Below Low,28.26499938964844,28.725000381469727,28.28499984741211,28.76499938964844,28.1299991607666,23:45:00,Crossed Above High,28.725000381469727,,
2024-08-05,Monday,20:45:00,Above High,27.604999542236328,27.565000534057617,27.34000015258789,28.815000534057617,26.594999313354492,22:35:00,,,Crossed Below Low,27.315000534057617
2024-08-06,Tuesday,20:35:00,Above High,27.01499938964844,27.0049991607666,26.854999542236328,27.405000686645508,26.700000762939453,,,,,
2024-08-07,Wednesday,21:00:00,Above High,26.854999542236328,26.795000076293945,26.690000534057617,27.3700008392334,26.665000915527344,13:50:00,,,Crossed Below Low,26.850000381469727
2024-08-08,Thursday,20:35:00,Below Low,27.55500030517578,27.6299991607666,27.559999465942383,27.84000015258789,26.81999969482422,21:20:00,Crossed Above High,27.674999237060547,,
2024-08-11,Sunday,20:50:00,Above High,27.459999084472656,27.44499969482422,27.350000381469727,27.530000686645508,27.280000686645508,21:45:00,,,Crossed Below Low,27.31999969482422
2024-08-12,Monday,20:35:00,Below Low,28.0,28.1200008392334,28.010000228881836,28.11000061035156,27.424999237060547,,,,,
2024-08-13,Tuesday,21:15:00,Above High,27.96500015258789,27.934999465942383,27.8700008392334,28.06999969482422,27.51499938964844,21:50:00,,,Crossed Below Low,27.850000381469727
2024-08-14,Wednesday,20:35:00,Above High,27.665000915527344,27.655000686645508,27.339000701904297,28.1299991607666,27.23500061035156,,,,,
2024-08-15,Thursday,20:50:00,Above High,28.469999313354492,28.46500015258789,28.395000457763672,28.579999923706055,27.709999084472656,21:30:00,,,Crossed Below Low,28.334999084472656
