Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-05-09,Thursday,Win,18244.75,18227.0,18348.0,18188.5,17.75,71.0,4.4375,20:33:00,18226.5,Below Opening Low,20:36:00,18225.25,Below Opening Low,0.20892322071638672,9.5,0.2020507463507161,9.1875,Crossed Above Opening High,02:54:00,18247.0
2024-05-12,Sunday,Win,18254.5,18238.0,18336.25,18235.0,16.5,66.0,4.125,20:57:00,18256.75,Above Opening High,20:58:00,18256.75,Above Opening High,0.43356738700661257,19.875,0.43356738700661257,19.875,Crossed Below Opening Low,13:10:00,18249.5
2024-05-13,Monday,Win,18289.75,18282.25,18433.0,18165.5,7.5,30.0,1.875,20:43:00,18281.25,Below Opening Low,20:44:00,18279.25,Below Opening Low,0.6371968842035727,28.9375,0.6261870028350445,28.4375,Crossed Above Opening High,02:35:00,18289.5
2024-05-14,Tuesday,Win,18426.25,18414.75,18707.0,18393.0,11.5,46.0,2.875,20:36:00,18414.5,Below Opening Low,20:37:00,18409.0,Below Opening Low,0.11689229598216713,5.375,0.086989615614636,4.0,Crossed Above Opening High,22:04:00,18424.5
2024-05-15,Wednesday,Win,18735.25,18717.0,18760.75,18638.75,18.25,73.0,4.5625,22:15:00,18715.5,Below Opening Low,02:01:00,18712.25,Below Opening Low,0.41177654080879883,19.1875,0.3943397491784588,18.375,Crossed Above Opening High,23:38:00,18737.5
2024-05-16,Thursday,Win,18656.75,18645.25,18686.75,18545.0,11.5,46.0,2.875,21:05:00,18657.25,Above Opening High,21:06:00,18660.0,Above Opening High,0.1578658675264559,7.375,0.1431495578417863,6.6875,Crossed Below Opening Low,23:12:00,18645.75
2024-05-19,Sunday,Win,18671.25,18658.5,18794.5,18635.25,12.75,51.0,3.1875,20:43:00,18672.0,Above Opening High,22:42:00,18672.75,Above Opening High,0.6517864268802043,30.625,0.6477958977360398,30.4375,Crossed Below Opening Low,03:09:00,18662.25
2024-05-20,Monday,Win,18756.25,18745.5,18808.75,18678.0,10.75,43.0,2.6875,20:40:00,18758.5,Above Opening High,20:41:00,18758.25,Above Opening High,0.26716288961254736,12.5625,0.26849205821758493,12.625,Crossed Below Opening Low,21:31:00,18745.0
2024-05-21,Tuesday,Win,18817.0,18808.0,18838.5,18684.25,9.0,36.0,2.25,20:55:00,18807.75,Below Opening Low,22:01:00,18822.0,Above Opening High,0.6609845190467908,30.875,0.08758659128911538,4.125,Crossed Above Opening High,21:54:00,18815.25
2024-05-22,Wednesday,Win,18877.0,18863.25,19023.25,18621.5,13.75,55.0,3.4375,20:42:00,18862.75,Below Opening Low,21:22:00,18878.75,Above Opening High,1.295545471632253,60.3125,0.759596809167729,36.125,Crossed Above Opening High,21:18:00,18877.75
2024-05-23,Thursday,Win,18715.5,18694.0,18926.0,18682.75,21.5,86.0,5.375,20:38:00,18717.25,Above Opening High,20:40:00,18716.25,Above Opening High,1.1029800274754304,52.1875,1.1082637641339956,52.4375,Crossed Below Opening Low,02:21:00,18695.0
2024-05-26,Sunday,Loss,18850.25,18833.5,18956.0,18836.75,16.75,67.0,4.1875,21:05:00,18851.25,Above Opening High,21:31:00,18852.25,Above Opening High,0.5525954842793839,26.1875,0.5473201097277907,25.9375,Not Crossed,N/A,N/A
2024-05-27,Monday,Win,18917.0,18885.0,18980.5,18819.5,32.0,128.0,8.0,22:56:00,18918.0,Above Opening High,23:10:00,18918.5,Above Opening High,0.3292853191433313,15.625,0.3266510365901847,15.5,Crossed Below Opening Low,09:44:00,18872.5
2024-05-28,Tuesday,Loss,18947.75,18919.75,18928.0,18755.5,28.0,112.0,7.0,20:35:00,18919.5,Below Opening Low,20:39:00,18915.5,Below Opening Low,0.8744101730159153,41.0,0.8530830956252832,40.0,Not Crossed,N/A,N/A
2024-05-29,Wednesday,Win,18732.0,18705.0,18787.0,18546.25,27.0,108.0,6.75,22:21:00,18704.25,Below Opening Low,22:24:00,18698.75,Below Opening Low,0.8519242434454405,39.5,0.8222686526925929,38.125,Crossed Above Opening High,04:49:00,18732.5
